Codigo_IBGE,UF,Padrao_Acabamento,Mes,Ano,Tipo_Projeto,Descricao,Valor_m2,Regiao
11,Rondônia,Normal,junho,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1971.37,Norte
11,Rondônia,Normal,junho,2025,PR4-3QP,Prédio residencial (4 pavimentos),1696.43,Norte
11,Rondônia,Normal,junho,2025,PC.12-LA,Prédio comercial (12 pavimentos),1771.45,Norte
11,Rondônia,Normal,julho,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2079.81,Norte
11,Rondônia,Normal,julho,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1976.02,Norte
11,Rondônia,Normal,julho,2025,PR4-3QP,Prédio residencial (4 pavimentos),1704.8,Norte
11,Rondônia,Normal,julho,2025,PC.12-LA,Prédio comercial (12 pavimentos),1790.72,Norte
11,Rondônia,Normal,agosto,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2088.42,Norte
11,Rondônia,Normal,agosto,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1985.12,Norte
11,Rondônia,Normal,agosto,2025,PR4-3QP,Prédio residencial (4 pavimentos),1711.21,Norte
11,Rondônia,Normal,agosto,2025,PC.12-LA,Prédio comercial (12 pavimentos),1795.01,Norte
11,Rondônia,Normal,setembro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2094.28,Norte
11,Rondônia,Normal,setembro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1992.52,Norte
11,Rondônia,Normal,setembro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1718.8,Norte
11,Rondônia,Normal,setembro,2025,PC.12-LA,Prédio comercial (12 pavimentos),1806.85,Norte
11,Rondônia,Normal,outubro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2108.05,Norte
11,Rondônia,Normal,outubro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2005.01,Norte
11,Rondônia,Normal,outubro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1727.42,Norte
11,Rondônia,Normal,outubro,2025,PC.12-LA,Prédio comercial (12 pavimentos),1822.75,Norte
11,Rondônia,Normal,novembro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2109.8,Norte
11,Rondônia,Normal,novembro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2005.9,Norte
11,Rondônia,Normal,novembro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1734.34,Norte
11,Rondônia,Normal,novembro,2025,PC.12-LA,Prédio comercial (12 pavimentos),1828.34,Norte
11,Rondônia,Normal,dezembro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2110.51,Norte
11,Rondônia,Normal,dezembro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2007.17,Norte
11,Rondônia,Normal,dezembro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1746.27,Norte
11,Rondônia,Normal,dezembro,2025,PC.12-LA,Prédio comercial (12 pavimentos),1841.78,Norte
11,Rondônia,Baixo,janeiro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1413.3,Norte
11,Rondônia,Baixo,janeiro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1338.29,Norte
11,Rondônia,Baixo,janeiro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1342.23,Norte
11,Rondônia,Baixo,fevereiro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1411.77,Norte
11,Rondônia,Baixo,fevereiro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1337.07,Norte
11,Rondônia,Baixo,fevereiro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1343.2,Norte
11,Rondônia,Baixo,março,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1414.35,Norte
11,Rondônia,Baixo,março,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1340.4,Norte
11,Rondônia,Baixo,março,2025,PR4-3QP,Prédio residencial (4 pavimentos),1344.15,Norte
11,Rondônia,Baixo,abril,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1416.04,Norte
11,Rondônia,Baixo,abril,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1341.96,Norte
11,Rondônia,Baixo,abril,2025,PR4-3QP,Prédio residencial (4 pavimentos),1342.0,Norte
11,Rondônia,Baixo,maio,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1421.47,Norte
11,Rondônia,Baixo,maio,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1346.92,Norte
11,Rondônia,Baixo,maio,2025,PR4-3QP,Prédio residencial (4 pavimentos),1337.84,Norte
11,Rondônia,Baixo,junho,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1450.8,Norte
11,Rondônia,Baixo,junho,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1374.04,Norte
11,Rondônia,Baixo,junho,2025,PR4-3QP,Prédio residencial (4 pavimentos),1364.2,Norte
11,Rondônia,Baixo,julho,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1459.19,Norte
11,Rondônia,Baixo,julho,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1381.1,Norte
11,Rondônia,Baixo,julho,2025,PR4-3QP,Prédio residencial (4 pavimentos),1373.97,Norte
11,Rondônia,Baixo,agosto,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1464.6,Norte
11,Rondônia,Baixo,agosto,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1386.57,Norte
11,Rondônia,Baixo,agosto,2025,PR4-3QP,Prédio residencial (4 pavimentos),1377.0,Norte
11,Rondônia,Baixo,setembro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1473.57,Norte
11,Rondônia,Baixo,setembro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1395.81,Norte
11,Rondônia,Baixo,setembro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1383.49,Norte
11,Rondônia,Baixo,outubro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1482.23,Norte
11,Rondônia,Baixo,outubro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1403.36,Norte
11,Rondônia,Baixo,outubro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1389.01,Norte
11,Rondônia,Baixo,novembro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1485.64,Norte
11,Rondônia,Baixo,novembro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1406.85,Norte
11,Rondônia,Baixo,novembro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1391.97,Norte
11,Rondônia,Baixo,dezembro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1491.42,Norte
11,Rondônia,Baixo,dezembro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1412.72,Norte
11,Rondônia,Baixo,dezembro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1403.81,Norte
11,Rondônia,Mínimo,janeiro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1215.72,Norte
11,Rondônia,Mínimo,janeiro,2025,CB-MMO,Cesta básica construção,1135.21,Norte
11,Rondônia,Mínimo,fevereiro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1212.38,Norte
11,Rondônia,Mínimo,fevereiro,2025,CB-MMO,Cesta básica construção,1128.97,Norte
